"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C16","[Mini Statement]   Sprawdzenie mini wyciągu operacji konta .","Mateusz Bilewicz","2/22/2023 8:01 AM","","","Medium","T16","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:15 PM"
"C17","[Mini Statment]  Sprawdzenie mini wyciagu operacji konta z nie poprawnym numerem konta.","Mateusz Bilewicz","2/22/2023 8:33 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:12 PM"
"C18","[Customized Statement]  Zestawienie indywidualne i wyświetlenie transkacji na rachunku opacriu o date , wartość transakcji.","Mateusz Bilewicz","2/22/2023 8:43 PM","","","Medium","T18","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:16 PM"
"C22","[Log out] Poprawne wylogowanie sie Managera z konta.","Mateusz Bilewicz","2/22/2023 9:18 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:13 PM"
"C23","[Balance Enquiry] Sprawdzenie stanu konta """"Saving"""" i """"Current""""","Mateusz Bilewicz","2/22/2023 10:04 PM","","","Medium","T23","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","3/2/2023 9:39 AM"
"C24","[Fund Transfer]  Przelew na inne konto.","Mateusz Bilewicz","2/22/2023 10:14 PM","","","Medium","","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:24 PM"
"C25","[Change Password] Zmiana hasła na nowe.","Mateusz Bilewicz","2/22/2023 10:24 PM","","","Medium","","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:32 PM"
"C26","[Mini Statement]  Sprawdzenie mini wyciągu operacji konta .","Mateusz Bilewicz","2/22/2023 10:33 PM","","","Medium","T26","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:16 PM"
"C27","[Customized Statement]  Zestawienie indywidualne i wyświetlenie transkacji na rachunku opacriu o date , wartość transakcji.","Mateusz Bilewicz","2/22/2023 10:37 PM","","","Medium","T27","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:16 PM"
"C28","[Log out] Poprawne wylogowanie klienta  sie z  swoojego konta .","Mateusz Bilewicz","2/22/2023 10:42 PM","","","Medium","","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:43 PM"
